	author	body	date	helpful	rating	title
0	['RaghulJay']	"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  After 5 days Review,', 'I bought Redmi Note 9 pro max after coming from Samsung A50 mobile.. My honest Review..', ""For this price it's a good device with all rounder performance. Still it's display not good as Amoled Displays in Samsung Mobiles. Sound quality also not so good compared to Samsung A50 mobile.."", ""For gaming it's good for Moderate Gamers and device pretty Cool with 5020 Mah Battery.. 33 watt charger really very fast charging."", ""MiUi have many unwanted apps, but it's easy to disable/uninstall with pc. After Uninstalling System unwanted Softwares, UI is pretty cool fast and Smooth. Though it's a Chinese product, it's assesmbed in INDIA."", 'U may think for POCO X2 but it lacks Micro SD Dedicated slot.. POCO drains charge very faster due to 120hz display..', 'Alternate option : U can Buy Samsung m31 ( But charging very slow), Realme X2, Realme 6 pro.', 'Display : 4/5', 'Sound : 4/5 ( Speaker & Mic)', 'Look : 5/5', 'Build Quality : 5/5', 'Hardware : 5/5 ( SD 720G - Best Gaming )', 'Battery : 5/5 ( 5020mah with 33watt charger)', 'Camera : 4.5/5 (back)', 'Selfie : 3/5 ( not so good )', 'Call quality : 4/5', 'OVERALL Performance : 4.5/5', ""I am sure I will recommend to all people it's a Beast mobile in this price Segment."", ""Glad that it's useful for you.. THANK U..\n"", '\n  \n']"	['Reviewed in India on 1 July 2020']	['273 people found this helpful']	['4.0 out of 5 stars']	['\n\n\n\n\n\n\n\n  \n  \n    ', 'After 5 Days Use Redmi Note 9 pro Max : Honest Review from Samsung A50 User.', '\n  \n']
1	['Md ali ganiyani']	['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Please🙏🙏🙏🙏🙏🙏Dont buy I got defective piece It is not working automatically restarting continuously and app are not opening I want return please give Refund.\n', '\n  \n']	['Reviewed in India on 22 June 2020']	['240 people found this helpful']	['1.0 out of 5 stars']	['\n\n\n\n\n\n\n\n  \n  \n    ', 'Worst 👎phone 📞 ever I bought', '\n  \n']
2	['Prashant s.']	['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Best phone in the world under 20000!!☺😊😃\n', '\n  \n']	['Reviewed in India on 14 June 2020']	['240 people found this helpful']	['5.0 out of 5 stars']	['\n\n\n\n\n\n\n\n  \n  \n    ', 'Best phone in the world', '\n  \n']
3	['Anandakrishnan Gs']	"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  Do not buy this phone....The phone has hanging issue....i requested to replace this product but amazon was told download a app ''Blancco''....Then i download this app and the enquiry team told check few text and upload results.... After i uploaded they told me my phone have no issues.... This phone was hanged stuck in 5 minutes till now as well as yesterday 2 times hanged and automatically Switched off.... Poor service amazon.... I stop buying your product....😭\n"", '\n  \n']"	['Reviewed in India on 10 June 2020']	['197 people found this helpful']	['1.0 out of 5 stars']	['\n\n\n\n\n\n\n\n  \n  \n    ', 'Not Recommended', '\n  \n']
4	['Sagar Narkhede']	['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Initial Impressions', 'Display is quite good compare to Samsung m31s.', 'Lack of 90hz screen.', 'Overall great phone.', 'Performance is quite good\n', '\n  \n']	['Reviewed in India on 1 August 2020']	['176 people found this helpful']	['5.0 out of 5 stars']	['\n\n\n\n\n\n\n\n  \n  \n    ', 'Overall good at this price range', '\n  \n']
5	['Sathish R']	"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  I purchased Redmi note 9 pro max on 07-Aug-2020 and it is delivered to me on 08-Aug-2020. Delivery and package wise no issues. It is in brand new condition, the seal didn't tamper. I started restoring the apps and contents from the old phone - Redmi Note 4.  After loading some applications, Note 9 pro max mobile started producing excessive heat which I couldn't expect from 8GB RAM. Sound clarity is average, bearly hear sound from videos/music from YOUTUBE/ Facebook.  Really disappointed with phone because of these two issues. Rest all OK.\n"", '\n  \n']"	['Reviewed in India on 9 August 2020']	['163 people found this helpful']	['2.0 out of 5 stars']	['\n\n\n\n\n\n\n\n  \n  \n    ', 'Heating Issue/ Poor Sound Clarifty', '\n  \n']
6	['Piyush Mohanta']	"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  Worst product, heavy, doesn't looks that great in person, 64MP is s gimmick, it looses when compared against Samsung 16MP\n"", '\n  \n']"	['Reviewed in India on 1 June 2020']	['164 people found this helpful']	['1.0 out of 5 stars']	"['\n\n\n\n\n\n\n\n  \n  \n    ', ""DON'T BUY"", '\n  \n']"
7	['Nidhy']	['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Guys iam orderd this model on 24th june and get by 27 june also fast delivery but about this phone is on first charge it fastly charged but it almost take 1.45 hrs to full charge while phones are on and phones are off it fastly charge and take upto 1.30hrs only and on 98%charge it seems 8 minutes to complete full charge  and shows that charging rapidly.  And camera some times error.  Battery backup was not 5020 mah and a serious  issue is while fully charged and its  not stuck in 100% its fastly go to 99%  in 1 sec . And youtubers say that it will remain 100% on using instagram after 30 mint but it drains to 95 %.  While play freefire for 1hrs battery drains 14% and playing pubg also same battery drains . And while we playing video on youtube it lock and unlock sudenly 1%battery gone its a serius isue .', 'Delivery 5/5', 'System5/3', 'Batterycharge and drain5/3', 'Camera5/4', 'Gaming 5/4', 'Dont expect the features are not true this is the best review and dont use fake review dont waste  money', 'Updating review', 'A few problems also founded on25% it will drain fast to 20% less than 1mint  and the battery perfomance is worst i think relme narzo is beter batery backup than this divice  please dont buy guyz', 'In this sale you can buy using computer with the help of autobuy  and you cant get in moblie thankyou guyz now battery drains faster than usually i dont know whats wrong with this\n', '\n  \n']	['Reviewed in India on 30 June 2020']	['138 people found this helpful']	['3.0 out of 5 stars']	['\n\n\n\n\n\n\n\n  \n  \n    ', 'PLEASE READ COMPLETE IF YOU ARE GOING TO BUY', '\n  \n']
8	['Arun Pandey']	['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Excellent performance..after using 2 days I found that the quality of Redmi note 9 pro max is superb but there are some pros and cons..', 'And some Dispointing thing also..', 'Pros-', '6 GB RAM 64 GB ROM 👌', 'Camera quality is best for this range but they need to more improvement in Wide angle camera..', 'Battery backup is Very good', 'Processor is Very strong side of this phone..', 'If anyone wants for gaming purpose they have to must by this phone.', 'Cons-', 'I ordered Redmi note 9 pro max (INTERSTELLER BLACK) but inside the box colour of the handset is diferent you can view in uploaded pics..', '2nd The Price range is too high but may be due to high demand..', 'Overall I like this but only Dispointing thing is i received different colour set.\n', '\n  \n']	['Reviewed in India on 15 June 2020']	['138 people found this helpful']	['4.0 out of 5 stars']	['\n\n\n\n\n\n\n\n  \n  \n    ', 'Excellent phone.. But Read carefully given reviews.', '\n  \n']
9	['Dheeraj']	['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  ITS HANGS TOO MUCH\n', '\n  \n']	['Reviewed in India on 7 June 2020']	['126 people found this helpful']	['1.0 out of 5 stars']	['\n\n\n\n\n\n\n\n  \n  \n    ', 'WASTE OF MONEY', '\n  \n']
