,document,start,end,label,text
0,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",19,22,QUANT,two
1,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",23,31,ROOM,bedrooms
2,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",33,36,QUANT,two
3,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",37,46,ROOM,washrooms
4,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",48,51,QUANT,two
5,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",52,60,ROOM,balconys
6,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",62,65,QUANT,one
7,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",66,76,ROOM,livingroom
8,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",82,85,QUANT,one
9,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",86,93,ROOM,kitchen
